School_ID,State,Year,Subject,ISBN,trove_id,title,author,issued,type,relevance_score,relevance_value,identifier_type,identifier_linktype,identifier_value,start_year,author_processed,type_processed,decade,corpus,recency_score,popularity_score,title_google,subtitle,authors,publisher,published_date,description,page_count,categories,average_rating,ratings_count,language
15,NSW,0,ENGLISH,9780648237327,,,,,,,,,,,,Unknown,Unknown,,9780648237327,0.5,0.5,Kluwell My Home Reading Yellow Level,,"Stan Kluzek, Andrew Coldwell",,2019-07,Suitable for lower primary students.,0.0,,,,en
15,NSW,0,ENGLISH,9781876424022,252748714.0,Thrass picture charts [picture],,,Book,6.3984904289245605,very relevant,,,,,Unknown,Book,,9781876424022 Thrass picture charts [picture] Book,0.5,0.0139869515170873,Thrass Sound Picturechart [Deskchart].,,Alan Davies,,1998,,,Authorship,,,en
15,NSW,0,ENGLISH,9781876424022,233498355.0,Thrass Sound Picturechart [Deskchart],"Davies, Alan",1998,Book,6.004440307617188,very relevant,,,,1998.0,"Davies, Alan",Book,1990.0,"9781876424022 Thrass Sound Picturechart [Deskchart] Davies, Alan Book",0.967391304347826,0.0,Thrass Sound Picturechart [Deskchart].,,Alan Davies,,1998,,,Authorship,,,en
15,NSW,0,ENGLISH,9781876424022,234887497.0,Thrass Picture Charts - 4/5 Class Set,,,Book,6.004440307617188,very relevant,,,,,Unknown,Book,,9781876424022 Thrass Picture Charts - 4/5 Class Set Book,0.5,0.0,Thrass Sound Picturechart [Deskchart].,,Alan Davies,,1998,,,Authorship,,,en
35,NSW,0,ENGLISH,9781740202954,28141087.0,"Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001-2023,"Book, Book/Illustrated",10.823433876037598,very relevant,,,,2001.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781740202954 Targeting handwriting student book : NSW foundation style / by Jane Pinsker, illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9710144927536232,0.1710519189260074,Targeting Handwriting,NSW Foundation Style,Jane Pinsker,,2001,,64.0,Penmanship,,,en
35,NSW,0,ENGLISH,9781740202954,33292019.0,"Targeting handwriting :  NSW foundation style /  by Jane Pinsker, illustrated by Stephen Michael King","Pinsker, Jane",2001,"Book/Illustrated, Book",8.340190887451172,very relevant,,,,2001.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781740202954 Targeting handwriting :  NSW foundation style /  by Jane Pinsker, illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9710144927536232,0.0829083112771405,Targeting Handwriting,NSW Foundation Style,Jane Pinsker,,2001,,64.0,Penmanship,,,en
36,QLD,0,ENGLISH,9781925487350,,,,,,,,,,,,Unknown,Unknown,,9781925487350,0.5,0.5,Alphabet Sounds and Writing Scrapbook Queensland,,,,2017-06-01,Beginners Alphabet and writing book,56.0,,,,en
36,QLD,0,ENGLISH,9781741352795,,,,,,,,,,,,Unknown,Unknown,,9781741352795,0.5,0.5,Writing Time: F. Queensland beginner's alphabet,,Mary Serenc,,2013,,72.0,Alphabet books,,,en
36,QLD,0,ENGLISH,9781922246165,218070593.0,ORIGO Stepping Stones Student Journal Year F,ORIGO Education,2014,Book,6.004440307617188,very relevant,,,,2014.0,ORIGO Education,Book,2010.0,9781922246165 ORIGO Stepping Stones Student Journal Year F ORIGO Education Book,0.9867149758454108,0.0,ORIGO Stepping Stones Student Journal Year F,,ORIGO Education,,2014-01-01,,,,,,en
37,NT,0,MUSIC,9780987411457,228434867.0,Music writing. R. Friend & D. McClure ; illustrator: Christie Denman,"Friend, Ruth",2016,"Book/Illustrated, Book",7.884276390075684,very relevant,,,,2016.0,"Friend, Ruth",Book/Illustrated,2010.0,"9780987411457 Music writing. R. Friend & D. McClure ; illustrator: Christie Denman Friend, Ruth Book/Illustrated",0.9891304347826086,0.0667254613656338,Take Note Music Writing Student,,"Davina McClure, Ruth Friend",,2003,,28.0,Music,,,en
37,NT,0,MUSIC,9780987411457,237292510.0,Take Note Music Writing Student Book 2,"McClure, Davina B.",2003,Book,6.004440307617188,very relevant,,,,2003.0,"McClure, Davina B.",Book,2000.0,"9780987411457 Take Note Music Writing Student Book 2 McClure, Davina B. Book",0.9734299516908212,0.0,Take Note Music Writing Student,,"Davina McClure, Ruth Friend",,2003,,28.0,Music,,,en
37,NT,0,ENGLISH,9781741353006,192031954.0,Writing time : adventures in handwriting : practice book : Victorian modern cursive / Firefly Education,"Serenc, Mary",2014,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2014.0,"Serenc, Mary",Book/Illustrated,2010.0,"9781741353006 Writing time : adventures in handwriting : practice book : Victorian modern cursive / Firefly Education Serenc, Mary Book/Illustrated",0.9867149758454108,0.0139869515170873,Writing Time F Student Book,Victorian Modern Cursive,"Firefly Education, Mary Serenc, Jane Rheeder, Carolyn Smales, Wayne Lightbourne",,2014-09,"Writing Time is the handwriting series with a difference. Each full-colour book takes students on a unique handwriting adventure to understand, consolidate and extend handwriting knowledge. -- publisher's website.",69.0,Alphabet books,,,en
37,NT,0,ENGLISH,9781741353006,191620008.0,Writing Time F Student Book : Victorian Modern Cursive,Firefly Education,2014,"Book/Illustrated, Book",6.004440307617188,very relevant,,,,2014.0,Firefly Education,Book/Illustrated,2010.0,9781741353006 Writing Time F Student Book : Victorian Modern Cursive Firefly Education Book/Illustrated,0.9867149758454108,0.0,Writing Time F Student Book,Victorian Modern Cursive,"Firefly Education, Mary Serenc, Jane Rheeder, Carolyn Smales, Wayne Lightbourne",,2014-09,"Writing Time is the handwriting series with a difference. Each full-colour book takes students on a unique handwriting adventure to understand, consolidate and extend handwriting knowledge. -- publisher's website.",69.0,Alphabet books,,,en
37,NT,0,ENGLISH,9780760935880,,,,,,,,,,,,Unknown,Unknown,,9780760935880,0.5,0.5,Strategies to Achieve Reading Success,Book F,Curriculum Associates Staff,,2005-01-01,,151.0,Reading (Adult education),,,en
37,NT,0,ENGLISH,9780076044818,189779846.0,"SRA spelling mastery. Robert Dixon, Siegfried Engelmann","Dixon, Robert",2007,"Book, Book/Illustrated",8.935046195983887,very relevant,,,,2007.0,"Dixon, Robert",Book/Illustrated,2000.0,"9780076044818 SRA spelling mastery. Robert Dixon, Siegfried Engelmann Dixon, Robert Book/Illustrated",0.9782608695652174,0.1040229155120649,"Spelling Mastery Level A, Student Workbook",,McGraw Hill,McGraw-Hill Education,2006-05-15,Level A Spelling Mastery Student Workbook guides your students as they develop and master the spelling skills they need for educational success.,0.0,Language Arts & Disciplines,,,en
37,NT,0,ENGLISH,9780076044818,7832177.0,"Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer","Dixon, Robert, 1947-",1990-2007,"Book/Illustrated, Book",8.340190887451172,very relevant,,,,1990.0,"Dixon, Robert, 1947-",Book/Illustrated,1990.0,"9780076044818 Spelling mastery / Robert Dixon, Siegfried Engelmann, Mary Meier Bauer Dixon, Robert, 1947- Book/Illustrated",0.957729468599034,0.0829083112771405,"Spelling Mastery Level A, Student Workbook",,McGraw Hill,McGraw-Hill Education,2006-05-15,Level A Spelling Mastery Student Workbook guides your students as they develop and master the spelling skills they need for educational success.,0.0,Language Arts & Disciplines,,,en
37,NT,0,ENGLISH,9781743305614,28579087.0,Comprehensive assessment of reading strategies,"Adcock, Deborah",1999-2013,"Book, Book/Illustrated",9.114736557006836,very relevant,,,,1999.0,"Adcock, Deborah",Book/Illustrated,1990.0,"9781743305614 Comprehensive assessment of reading strategies Adcock, Deborah Book/Illustrated",0.9685990338164252,0.1104010898401866,Comprehensive Assessment of Reading Strategies,Book F,"Deborah Adcock, Stephen Davies",,2012,,61.0,,,,en
8,VIC,1,ENGLISH,9781741250886,17911947.0,"Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King","Dearborn, Tricia",2004,"Book, Book/Illustrated",8.119243621826172,very relevant,,,,2004.0,"Dearborn, Tricia",Book/Illustrated,2000.0,"9781741250886 Victorian targeting handwriting /  Tricia Dearborn, Jo Ryan, Stephen Michael King Dearborn, Tricia Book/Illustrated",0.9746376811594204,0.0750657082045245,Victorian Targeting Handwriting Year 1 Student Book,,"Jane Pinsker, Tricia Dearborn, Jo Ryan, Stephen Michael King",,2001-01-01,,64.0,Juvenile Nonfiction,,,en
8,VIC,1,ENGLISH,9781741250886,189779979.0,Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King,"Pinsker, Jane",2003-2004,"Book/Illustrated, Book",8.119243621826172,very relevant,,,,2003.0,"Pinsker, Jane",Book/Illustrated,2000.0,"9781741250886 Targeting handwriting. : Victorian modern cursive / by Jane Pinsker and Jo Ryan ; illustrated by Stephen Michael King Pinsker, Jane Book/Illustrated",0.9734299516908212,0.0750657082045245,Victorian Targeting Handwriting Year 1 Student Book,,"Jane Pinsker, Tricia Dearborn, Jo Ryan, Stephen Michael King",,2001-01-01,,64.0,Juvenile Nonfiction,,,en
8,VIC,1,ENGLISH,9780170129046,19387888.0,My PM word book / [text by Annette Smith ; illustrations by Rae Dale],"Smith, Annette, (Author at Cengage Learning)",2006,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2006.0,"Smith, Annette, (Author at Cengage Learning)",Book/Illustrated,2000.0,"9780170129046 My PM word book / [text by Annette Smith ; illustrations by Rae Dale] Smith, Annette, (Author at Cengage Learning) Book/Illustrated",0.9770531400966184,0.0139869515170873,My PM Word Book,,Annette Smith,Nightingale Press,2006,"Learning to spell correctly is an important skill. From the time children begin to make sense of the printed word in reading and writing they are learning about the structure of words. Spelling competence leads to effective written communication. The goal of teachers and parents is to encourage children to become competent spellers. My PM Word Book will help children to access many of the words commonly used in writing, develop early dictionary skills, improve spelling proficiency, write freely and fluently by speeding up word knowledge process, take greater responsibility for editing their own writing and gain confidence in the use of resources as a tool for learning.",64.0,English language,,,en
8,VIC,1,ENGLISH,9780648237327,,,,,,,,,,,,Unknown,Unknown,,9780648237327,0.5,0.5,Kluwell My Home Reading Yellow Level,,"Stan Kluzek, Andrew Coldwell",,2019-07,Suitable for lower primary students.,0.0,,,,en
9,NSW,1,ENGLISH,9780648237327,,,,,,,,,,,,Unknown,Unknown,,9780648237327,0.5,0.5,Kluwell My Home Reading Yellow Level,,"Stan Kluzek, Andrew Coldwell",,2019-07,Suitable for lower primary students.,0.0,,,,en
9,NSW,1,MATHEMATICS,9780190322793,215602592.0,"Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell","O'Brien, Harry",2016-2023,"Book/Illustrated, Book",10.703790664672852,very relevant,,,,2016.0,"O'Brien, Harry",Book/Illustrated,2010.0,"9780190322793 Maths plus. mentals and homework book : New South Wales syllabus / Harry O'Brien, Greg Purcell O'Brien, Harry Book/Illustrated",0.9891304347826086,0.1668051398839018,Maths Plus NSW Syllabus Mentals and Homework Book 1 2020,,"Harry O'Brien, Greg Purcell",,2019-11-28,"The Maths Plus NSW Syllabus Mentals and Homework Book provides students in Year 1 with opportunities to practise and develop skills and strategies.The Mentals and Homework Books: provide essential revision and consolidation activitiesdirectly correspond to the concepts and units of work presented in the Student Books link all activities to the three Australian Curriculum: Mathematics strands of Number and Algebra, Measurement and Geometry, and Statistics and Probability.",84.0,,,,en
10,VIC,1,ENGLISH,9780190312480,98479536.0,Handwriting first for Victoria / Maree Williams,"Williams, Maree",2011-2019,"Book/Illustrated, Book",12.157639503479004,very relevant,,,,2011.0,"Williams, Maree",Book/Illustrated,2010.0,"9780190312480 Handwriting first for Victoria / Maree Williams Williams, Maree Book/Illustrated",0.9830917874396136,0.218410030028558,Handwriting First for Victoria Year 1,,"Lesley Ljungdahl, Maree Williams",,2018-10-11,"Oxford Handwriting for Victoria is a comprehensive and engaging program designed to introduce and develop the fundamental skills of handwriting. It includes correct posture and grip models, opportunities to model and practise accurate letter formation and joining techniques, and activities to help every student develop a fluent automatic handwriting style. The Oxford Handwriting for Victoria series is comprised of seven student workbooks for years F-6 featuring words from the most recent Oxford Wordlist as well as themes and characters from Oxford Reading for Comprehension. Key Features of the handwriting books include:state-specific handwriting conventionsengaging full-colour illustrationshelpful tips along the waycolouring-in opportunitiesself-assessment tasksnumber tracing.",64.0,Penmanship,,,en
10,VIC,1,ENGLISH,9781863112604,11293553.0,My desktop dictionary,R.I.C. Publications,1992-1998,"Book, Book/Illustrated",6.751034259796143,very relevant,,,,1992.0,R.I.C. Publications,Book/Illustrated,1990.0,9781863112604 My desktop dictionary R.I.C. Publications Book/Illustrated,0.960144927536232,0.0265006222493511,My Desktop Dictionary,,Cliff Derkson,R.I.C. Publications,1992,,66.0,Reference,,,en
10,VIC,1,MUSIC,9780987411457,228434867.0,Music writing. R. Friend & D. McClure ; illustrator: Christie Denman,"Friend, Ruth",2016,"Book/Illustrated, Book",7.884276390075684,very relevant,,,,2016.0,"Friend, Ruth",Book/Illustrated,2010.0,"9780987411457 Music writing. R. Friend & D. McClure ; illustrator: Christie Denman Friend, Ruth Book/Illustrated",0.9891304347826086,0.0667254613656338,Take Note Music Writing Student,,"Davina McClure, Ruth Friend",,2003,,28.0,Music,,,en
10,VIC,1,MUSIC,9780987411457,237292510.0,Take Note Music Writing Student Book 2,"McClure, Davina B.",2003,Book,6.004440307617188,very relevant,,,,2003.0,"McClure, Davina B.",Book,2000.0,"9780987411457 Take Note Music Writing Student Book 2 McClure, Davina B. Book",0.9734299516908212,0.0,Take Note Music Writing Student,,"Davina McClure, Ruth Friend",,2003,,28.0,Music,,,en
10,VIC,1,MATHEMATICS,9781741351828,163413090.0,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,,2008.0,"Linthorne, Chris",Book/Illustrated,2000.0,"9781741351828 iMaths Linthorne, Chris Book/Illustrated",0.9794685990338164,0.3236764287125389,IMaths,,"Mary Serenc, Chris Linthorne, Lena Ford",,2011-01-01,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover.",72.0,Mathematics,,,en
10,VIC,1,MATHEMATICS,9781741351828,163413090.0,iMaths,"Linthorne, Chris",2008-2012,"Book/Illustrated, Book, Sound, Sound/Other sound",15.12327766418457,very relevant,,,,2008.0,"Linthorne, Chris",Book/Illustrated,2000.0,"9781741351828 iMaths Linthorne, Chris Book/Illustrated",0.9794685990338164,0.3236764287125389,IMaths,,"Mary Serenc, Chris Linthorne, Lena Ford",,2011-01-01,""" iMaths is an investigative-based numeracy program thath comprehensively addresses both the content and proficency strands of the Australian curriculum"". -- Back cover.",72.0,Mathematics,,,en
10,VIC,1,MATHEMATICS,9781741353358,200331411.0,Think mentals. Maths strategies and practice / Chris Linthorne ; Sandra Williams ; Peter Williams,"Linthorne, Chris",2015-2018,"Book/Illustrated, Book",9.114736557006836,very relevant,,,,2015.0,"Linthorne, Chris",Book/Illustrated,2010.0,"9781741353358 Think mentals. Maths strategies and practice / Chris Linthorne ; Sandra Williams ; Peter Williams Linthorne, Chris Book/Illustrated",0.9879227053140096,0.1104010898401866,Think Mentals Student Book 1,Maths Strategies and Practice,Mary Serence,,2015-08,,100.0,,,,en
10,VIC,1,MATHEMATICS,9781741353358,196238859.0,Think Mentals Student Book 1 : Maths Strategies and Practice,"Serence, Mary",2015,"Book/Illustrated, Book",6.751034259796143,very relevant,,,,2015.0,"Serence, Mary",Book/Illustrated,2010.0,"9781741353358 Think Mentals Student Book 1 : Maths Strategies and Practice Serence, Mary Book/Illustrated",0.9879227053140096,0.0265006222493511,Think Mentals Student Book 1,Maths Strategies and Practice,Mary Serence,,2015-08,,100.0,,,,en
10,VIC,1,MATHEMATICS,9781741353358,229003627.0,Think Mentals 1 : maths strategies and practice / Mary Serenc,"Linthorne, Chris",2015,"Book/Illustrated, Book",6.3984904289245605,very relevant,,,,2015.0,"Linthorne, Chris",Book/Illustrated,2010.0,"9781741353358 Think Mentals 1 : maths strategies and practice / Mary Serenc Linthorne, Chris Book/Illustrated",0.9879227053140096,0.0139869515170873,Think Mentals Student Book 1,Maths Strategies and Practice,Mary Serence,,2015-08,,100.0,,,,en
10,VIC,1,ENGLISH,9780648237327,,,,,,,,,,,,Unknown,Unknown,,9780648237327,0.5,0.5,Kluwell My Home Reading Yellow Level,,"Stan Kluzek, Andrew Coldwell",,2019-07,Suitable for lower primary students.,0.0,,,,en
10,VIC,1,ENGLISH,9781741353501,32441205.0,Sound waves. Barbara Murray,"Murray, Barbara",2005-2018,"Book, Book/Illustrated",13.986993789672852,very relevant,,,,2005.0,"Murray, Barbara",Book/Illustrated,2000.0,"9781741353501 Sound waves. Barbara Murray Murray, Barbara Book/Illustrated",0.9758454106280192,0.2833436217850506,Sound Waves Foundation Student Book,The Whole-School Phonemic Approach to Spelling,"Barbara Murray, Terri Watson",,2018,,100.0,,,,en
10,VIC,1,ENGLISH,9781741353501,235447804.0,Sound waves F foundation : the whole-school phonemic approach to spelling / Barbara Murray ; Terri Watson,"Murray, Barbara",2018,"Book/Illustrated, Book",7.070510387420654,very relevant,,,,2018.0,"Murray, Barbara",Book/Illustrated,2010.0,"9781741353501 Sound waves F foundation : the whole-school phonemic approach to spelling / Barbara Murray ; Terri Watson Murray, Barbara Book/Illustrated",0.9915458937198068,0.0378405428998647,Sound Waves Foundation Student Book,The Whole-School Phonemic Approach to Spelling,"Barbara Murray, Terri Watson",,2018,,100.0,,,,en
6,VIC,1,SCIENCE,9780190310769,223338775.0,Oxford atlas+ for Australian schools F-2 / Oxford University Press,"Mancini, Robert",2018,"Book, Book/Illustrated, Map, Map/Atlas",11.87971305847168,very relevant,,,,2018.0,"Mancini, Robert",Book/Illustrated,2010.0,"9780190310769 Oxford atlas+ for Australian schools F-2 / Oxford University Press Mancini, Robert Book/Illustrated",0.9915458937198068,0.2085449303840343,Oxford Atlas for Australian Schools Years F-2,,Oxford Atlas,,2017-10-06,"Stage one of the Oxford Atlas+ for Australian Schools series provides coverage of the Years F-2 Science and HASS Australian Curriculum content, and fosters the application of STEM knowledge and skills within and across content areas. The print atlas introduces students to the basics of mapping skills, and features highly engaging thematic spreads and world maps. The online Teacher Dashboard includes professional support notes, with teaching activities, ideas and experiments; assessment activities; videos; and digital interactives including coding and mapping skills and interactive maps.To find out more about the Oxford Atlas+ for Australian Schools series please click here.",,Atlases,,,en
6,VIC,1,SCIENCE,9780190310769,253961964.0,Oxford australian curriculum atlas years f-2 - 3rd edition,Oxford Atlas,2017,Book,6.3984904289245605,very relevant,,,,2017.0,Oxford Atlas,Book,2010.0,9780190310769 Oxford australian curriculum atlas years f-2 - 3rd edition Oxford Atlas Book,0.9903381642512076,0.0139869515170873,Oxford Atlas for Australian Schools Years F-2,,Oxford Atlas,,2017-10-06,"Stage one of the Oxford Atlas+ for Australian Schools series provides coverage of the Years F-2 Science and HASS Australian Curriculum content, and fosters the application of STEM knowledge and skills within and across content areas. The print atlas introduces students to the basics of mapping skills, and features highly engaging thematic spreads and world maps. The online Teacher Dashboard includes professional support notes, with teaching activities, ideas and experiments; assessment activities; videos; and digital interactives including coding and mapping skills and interactive maps.To find out more about the Oxford Atlas+ for Australian Schools series please click here.",,Atlases,,,en
